date,open,high,low,close,price,volume
2023-04-05,164.74,165.05,161.8,163.76,162.89,51511700
2023-04-04,166.6,166.84,165.11,165.63,164.75,46278300
2023-04-03,164.27,166.29,164.22,166.17,165.29,56976200
2023-03-31,162.44,165.0,161.91,164.9,164.02,68749800
2023-03-30,161.53,162.47,161.27,162.36,161.5,49501700
2023-03-29,159.37,161.05,159.35,160.77,159.92,51305700
2023-03-28,157.97,158.49,155.98,157.65,156.81,45992200
2023-03-27,159.94,160.77,157.87,158.28,157.44,52390300
2023-03-24,158.86,160.34,157.85,160.25,159.4,59196500
2023-03-23,158.83,161.55,157.68,158.93,158.09,67622100
2023-03-22,159.3,162.14,157.81,157.83,156.99,75701800
2023-03-21,157.32,159.4,156.54,159.28,158.43,73938300
2023-03-20,155.07,157.82,154.15,157.4,156.56,73641400
2023-03-17,156.08,156.74,154.28,155.0,154.18,98944600
2023-03-16,152.16,156.46,151.64,155.85,155.02,76161100
2023-03-15,151.19,153.25,149.92,152.99,152.18,77167900
2023-03-14,151.28,153.4,150.1,152.59,151.78,73695900
2023-03-13,147.81,153.14,147.7,150.47,149.67,84457100
2023-03-10,150.21,150.94,147.61,148.5,147.71,68572400
2023-03-09,153.56,154.54,150.23,150.59,149.79,53833600
2023-03-08,152.81,153.47,151.83,152.87,152.06,47204800
2023-03-07,153.7,154.03,151.13,151.6,150.8,56182000
2023-03-06,153.79,156.3,153.46,153.83,153.01,87558000
2023-03-03,148.04,151.11,147.33,151.03,150.23,70732300
2023-03-02,144.38,146.71,143.9,145.91,145.14,52238100
2023-03-01,146.83,147.23,145.01,145.31,144.54,55479000
2023-02-28,147.05,149.08,146.83,147.41,146.63,50547000
2023-02-27,147.71,149.17,147.45,147.92,147.13,44998500
2024-04-19,148.97,150.94,146.22,147.05,147.05,86005100
2024-04-18,151.25,152.2,148.7,149.93,149.93,96098800
2024-04-17,157.64,158.33,153.78,155.45,155.45,82439700
2024-04-16,156.74,158.19,153.75,157.11,157.11,97000000
2024-04-15,170.24,170.69,161.38,161.48,161.48,100245300
2024-04-12,172.34,173.81,170.36,171.05,171.05,64506600
2024-04-11,172.55,175.88,168.51,174.6,174.6,94516000
